step,avg_wins,avg_fruits,avg_wall_hits,avg_self_bites,avg_raw_reward,avg_discounted_return
0,0.0,0.073,59.671,0.061,-5.9428000890985135,-0.4605465669019316
500,0.0,6.979,2.664,0.326,3.157899995058775,0.592067803006834
1000,0.0,8.734,1.938,0.399,4.0933999959230425,0.6663484510494905
1500,0.0,9.273,1.476,0.506,4.387699996292591,0.6890282831228406
2000,0.0,8.785,1.398,0.499,4.1528999964296816,0.6504476931687388
2500,0.0,6.974,1.742,0.358,3.2411999963372944,0.6695714539945369
3000,0.0,12.382,1.059,0.874,5.910299995817244,0.7337789190411654
3500,0.0,9.899,1.153,0.718,4.6905999961420894,0.695901553421301
4000,0.0,11.284,1.009,0.977,5.345699995584786,0.7357208418249924
4500,0.0,9.719,1.256,0.857,4.562499995574355,0.7067876596380904
5000,0.0,11.064,1.085,0.991,5.225299995429814,0.6927447026769807
5500,0.0,8.539,0.993,0.766,4.016999996237457,0.7090974683429626
6000,0.0,11.652,0.87,1.001,5.538799995720386,0.7394481426377586
6500,0.0,12.44,1.054,1.071,5.9003999952375885,0.7740159433744043
7000,0.0,9.538,1.18,0.807,4.489599995836616,0.6330814866475057
7500,0.0,11.921,1.231,0.923,5.652799995414913,0.7777181279371559
8000,0.0,13.613,1.426,1.157,6.432499994426966,0.7777939562860804
8500,0.0,10.546,0.25,0.947,5.058599996805191,0.7073741057797036
9000,0.0,16.692,1.223,1.431,7.937499993912875,0.8502170998260252
9500,0.0,12.72,0.659,1.139,6.066299995623529,0.7561700552724706
10000,0.0,15.415,0.684,1.405,7.358099994793534,0.8104420339347203
10500,0.0,16.845,1.034,1.363,8.046499994397163,0.8591455169098131
11000,0.0,17.435,0.519,1.509,8.36379999472946,0.8599496058657908
11500,0.0,15.285,0.429,1.323,7.334999995417893,0.8178275290337168
12000,0.0,15.805,0.26,1.317,7.6130999956876035,0.8454850874577434
12500,0.0,13.531,0.132,1.188,6.514699996262789,0.7877826327701453
13000,0.0,13.047,0.333,1.092,6.271799996249378,0.7907225476404167
13500,0.0,16.628,0.218,1.443,8.00359999537468,0.8498973156987877
14000,0.0,16.785,0.405,1.307,8.09059999550134,0.8652655494938184
14500,0.0,16.649,0.35,1.356,8.018299995437264,0.8376548307080863
15000,0.0,16.689,0.331,1.44,8.023399995215238,0.8644616650490827
15500,0.0,17.944,0.076,1.612,8.641999995082617,0.8536927786177106
16000,0.0,17.42,0.03,1.593,8.388399995207786,0.8681605698742589
16500,0.0,16.317,0.073,1.491,7.8529999954476954,0.8591183417825224
17000,0.0,18.147,0.073,1.601,8.74599999511987,0.8747805324938099
17500,0.0,18.08,0.084,1.565,8.718599995210766,0.8617838707014559
18000,0.0,18.214,0.084,1.659,8.766799994930626,0.8577159673853977
18500,0.0,18.237,0.08,1.621,8.786299995049834,0.8675788502661903
19000,0.0,18.092,0.1,1.482,8.739599995434284,0.9000377159106273
19500,0.0,16.193,0.05,1.349,7.821699995905161,0.8352922198169522
20000,0.0,16.072,0.054,1.313,7.7679999960064885,0.8147552639461842
20500,0.0,18.237,0.041,1.557,8.802999995298684,0.8630656633969761
21000,0.0,16.767,0.058,1.57,8.06369999523461,0.8661949300315432
21500,0.0,18.222,0.111,1.574,8.785099995143712,0.8837888419255989
22000,0.0,16.078,0.074,1.351,7.761399995863438,0.8342463720838141
22500,0.0,18.113,0.083,1.558,8.736599995233119,0.88178478557467
23000,0.0,18.339,0.153,1.417,8.870799995549023,0.8779971341879643
23500,0.0,17.696,0.091,1.557,8.527499995224177,0.8534524112730733
24000,0.0,18.291,0.116,1.635,8.806899994954467,0.8729566663032154
24500,0.0,15.854,0.105,1.328,7.65089999588579,0.8273157593268472
25000,0.0,14.931,0.074,1.221,7.213899996250868,0.7676425553207
25500,0.0,18.202,0.103,1.488,8.793099995411932,0.8726593048732347
26000,0.0,18.427,0.162,1.551,8.88709999513626,0.8878515370537257
26500,0.0,18.313,0.142,1.526,8.83709999524057,0.8806072087016332
27000,0.0,16.624,0.254,1.349,8.016799995601177,0.8462875209915464
27500,0.0,18.361,0.013,1.614,8.856399995170534,0.8594270523492442
28000,0.0,18.304,0.13,1.508,8.837399995312095,0.8665600938072676
28500,0.0,18.446,0.113,1.541,8.903499995239079,0.8885706919846678
29000,0.0,16.272,0.065,1.446,7.8402999955937265,0.8296354758595403
29500,0.0,18.156,0.117,1.517,8.762899995304645,0.8764900999319566
