step,avg_wins,avg_fruits,avg_wall_hits,avg_self_bites,avg_raw_reward,avg_discounted_return
0,0.0,0.073,59.671,0.061,-5.9428000890985135,-0.4605465669019316
500,0.0,6.979,2.664,0.326,3.157899995058775,0.592067803006834
1000,0.0,8.734,1.938,0.399,4.0933999959230425,0.6663484510494905
1500,0.0,9.273,1.476,0.506,4.387699996292591,0.6890282831228406
2000,0.0,8.785,1.398,0.499,4.1528999964296816,0.6504476931687388
2500,0.0,6.974,1.742,0.358,3.2411999963372944,0.6695714539945369
3000,0.0,12.382,1.059,0.874,5.910299995817244,0.7337789190411654
3500,0.0,9.899,1.153,0.718,4.6905999961420894,0.695901553421301
4000,0.0,11.284,1.009,0.977,5.345699995584786,0.7357208418249924
4500,0.0,9.719,1.256,0.857,4.562499995574355,0.7067876596380904
5000,0.0,11.064,1.085,0.991,5.225299995429814,0.6927447026769807
5500,0.0,8.539,0.993,0.766,4.016999996237457,0.7090974683429626
6000,0.0,11.652,0.87,1.001,5.538799995720386,0.7394481426377586
6500,0.0,12.44,1.054,1.071,5.9003999952375885,0.7740159433744043
7000,0.0,9.538,1.18,0.807,4.489599995836616,0.6330814866475057
7500,0.0,11.921,1.231,0.923,5.652799995414913,0.7777181279371559
8000,0.0,13.613,1.426,1.157,6.432499994426966,0.7777939562860804
8500,0.0,10.546,0.25,0.947,5.058599996805191,0.7073741057797036
9000,0.0,16.692,1.223,1.431,7.937499993912875,0.8502170998260252
9500,0.0,12.72,0.659,1.139,6.066299995623529,0.7561700552724706
10000,0.0,15.415,0.684,1.405,7.358099994793534,0.8104420339347203
10500,0.0,16.845,1.034,1.363,8.046499994397163,0.8591455169098131
11000,0.0,17.435,0.519,1.509,8.36379999472946,0.8599496058657908
11500,0.0,15.285,0.429,1.323,7.334999995417893,0.8178275290337168
12000,0.0,15.805,0.26,1.317,7.6130999956876035,0.8454850874577434
12500,0.0,13.531,0.132,1.188,6.514699996262789,0.7877826327701453
13000,0.0,13.047,0.333,1.092,6.271799996249378,0.7907225476404167
13500,0.0,16.628,0.218,1.443,8.00359999537468,0.8498973156987877
14000,0.0,16.785,0.405,1.307,8.09059999550134,0.8652655494938184
14500,0.0,16.649,0.35,1.356,8.018299995437264,0.8376548307080863
15000,0.0,16.689,0.331,1.44,8.023399995215238,0.8644616650490827
15500,0.0,17.944,0.076,1.612,8.641999995082617,0.8536927786177106
16000,0.0,17.42,0.03,1.593,8.388399995207786,0.8681605698742589
16500,0.0,16.317,0.073,1.491,7.8529999954476954,0.8591183417825224
17000,0.0,18.147,0.073,1.601,8.74599999511987,0.8747805324938099
17500,0.0,18.08,0.084,1.565,8.718599995210766,0.8617838707014559
18000,0.0,18.214,0.084,1.659,8.766799994930626,0.8577159673853977
18500,0.0,18.237,0.08,1.621,8.786299995049834,0.8675788502661903
19000,0.0,18.092,0.1,1.482,8.739599995434284,0.9000377159106273
19500,0.0,16.193,0.05,1.349,7.821699995905161,0.8352922198169522
