step,avg_fruits,avg_wall_hits,avg_self_bites,avg_wins,avg_raw_reward,avg_discounted_return
0,0.068,97.448,0.0,0.0,-9.710800145208836,-0.7478338601821087
480,22.902,1.138,8.016,0.0,9.733999974414706,0.9564111857604956
960,23.624,0.025,7.452,0.0,10.319099977754057,0.9866777765511351
1440,23.747,0.009,7.027,0.0,10.467199979044498,0.9746185648659953
1920,23.612,0.0,6.451,0.0,10.515799980774522,0.9910727856891552
2400,23.741,0.085,6.022,0.0,10.657599981926381,1.014069676842115
2880,23.813,0.003,5.768,0.0,10.75259998280555,1.022641496841703
3360,23.724,0.045,5.669,0.0,10.723699983038008,0.9982387473429923
3840,23.638,0.003,5.474,0.0,10.723899983681738,1.0235644342055465
4320,23.778,0.016,5.29,0.0,10.82939998421073,1.007123896908955
4800,23.709,0.002,5.04,0.0,10.84629998497665,1.0249075362109903
5280,23.238,0.021,4.708,0.0,10.675299985937775,1.0188553669451332
5760,23.456,0.242,4.37,0.0,10.829799986615777,1.0358989558899105
6240,23.253,0.0,4.016,0.0,10.823299988031387,1.0239155580091754
6720,22.484,0.02,3.924,0.0,10.455199988275766,1.0231361121985638
7200,23.642,0.0,3.908,0.0,11.039399988353253,1.0521932363900446
7680,23.263,0.005,3.608,0.0,10.909399989239871,1.0426284717943608
8160,23.468,0.001,3.467,0.0,11.040499989666044,1.0641330344105602
8640,23.585,0.007,3.473,0.0,11.097199989639222,1.0499620823272575
9120,23.428,0.039,3.307,0.0,11.048699990086257,1.0510184555550168
9600,23.469,0.004,3.288,0.0,11.076499990195035,1.0702383771233421
10080,23.447,0.059,3.417,0.0,11.034199989728629,1.0484447096226497
10560,23.458,0.005,3.355,0.0,11.05749998999387,1.0463111953373228
11040,23.457,0.0,3.538,0.0,11.020899989455938,1.065949487669046
11520,23.43,0.0,3.245,0.0,11.065999990329146,1.0565645625984517
12000,23.218,0.006,3.316,0.0,10.945199990108609,1.0550260501197881
12480,23.57,0.0,3.543,0.0,11.076399989441038,1.0632444921363744
12960,23.428,0.0,3.128,0.0,11.088399990677834,1.0634178063698614
13440,23.486,0.001,3.158,0.0,11.111299990586936,1.0460973813364103
13920,23.429,0.007,3.056,0.0,11.102599990881979,1.0365700470089816
14400,23.494,0.015,3.152,0.0,11.115099990583957,1.0642530564169148
14880,23.452,0.0,3.412,0.0,11.043599989831447,1.0576164484368886
15360,23.528,0.005,3.281,0.0,11.107299990214408,1.0592738627315033
15840,23.391,0.002,3.138,0.0,11.067699990645051,1.049365049446964
16320,23.446,0.018,3.197,0.0,11.081799990445376,1.0503945288261611
16800,23.351,0.015,3.126,0.0,11.048799990661442,1.0354617657433898
17280,23.329,0.008,3.026,0.0,11.058499990969896,1.052346182837508
17760,23.564,0.001,3.107,0.0,11.160499990738929,1.0596763534098923
18240,23.617,0.001,3.306,0.0,11.147199990145863,1.056399750282294
18720,23.733,0.002,3.254,0.0,11.215499990299344,1.0659667328412479
19200,23.417,0.019,3.188,0.0,11.068999990470708,1.059917383177688
19680,23.281,0.061,3.103,0.0,11.013799990661441,1.048674568391657
