step,avg_fruits,avg_wall_hits,avg_self_bites,avg_wins,avg_raw_reward,avg_discounted_return
0,0.045,62.715,0.042,0.0,-6.257400093577802,-0.4973082584432209
480,12.254,0.402,1.017,0.0,5.883399996370077,0.7226914019294828
960,14.737,0.025,1.298,0.0,7.106399996094406,0.7719344671877791
1440,17.612,0.028,1.631,0.0,8.476999995097518,0.8259001470525288
1920,18.24,0.069,1.669,0.0,8.779299994923175,0.8442281805711452
2400,15.117,0.009,1.497,0.0,7.258199995525182,0.7756496739973074
2880,18.102,0.069,1.475,0.0,8.74909999550134,0.837568897943911
3360,18.147,0.0,1.855,0.0,8.702499994471669,0.8141094379300291
3840,18.261,0.001,1.64,0.0,8.802399995110928,0.8427344188054485
4320,18.407,0.0,1.59,0.0,8.88549999526143,0.8451095252279356
4800,18.319,0.024,1.632,0.0,8.830699995100499,0.8421021076895802
5280,15.713,0.01,1.413,0.0,7.572899995774031,0.7977570796446782
5760,18.336,0.0,1.753,0.0,8.817399994775652,0.878166461235374
6240,18.409,0.0,1.665,0.0,8.871499995037913,0.8712343605987926
6720,18.318,0.038,1.788,0.0,8.797599994614721,0.846052161983103
7200,18.053,0.042,1.707,0.0,8.680899994850158,0.8409502906099675
7680,18.5,0.011,1.691,0.0,8.910699994944036,0.8448754665229777
8160,18.55,0.009,1.799,0.0,8.914299994625152,0.8595212536501695
8640,18.694,0.003,1.894,0.0,8.96789999435097,0.855720672825026
9120,18.506,0.006,1.686,0.0,8.915199994966388,0.8662223410496644
9600,14.393,0.004,1.344,0.0,6.927299995988608,0.7441752395135527
10080,18.45,0.0,1.674,0.0,8.890199995011091,0.8502017247383267
10560,18.187,0.066,1.409,0.0,8.805099995702506,0.8533110170558168
11040,17.972,0.006,1.711,0.0,8.643199994891882,0.8544854150761475
11520,18.414,0.023,1.591,0.0,8.886499995224177,0.8641946892044319
12000,18.423,0.01,1.573,0.0,8.895899995297194,0.8604323189317338
12480,18.468,0.062,1.586,0.0,8.910599995180965,0.858368861478883
12960,18.343,0.007,1.51,0.0,8.868799995489418,0.8525020281765544
13440,14.719,0.001,1.264,0.0,7.1065999962314965,0.7650150257166608
13920,17.596,0.018,1.361,0.0,8.523999995917082,0.8578067773484769
14400,18.169,0.026,1.454,0.0,8.791099995627999,0.854368810457836
14880,18.056,0.027,1.472,0.0,8.730899995572866,0.8645834347155248
15360,18.364,0.02,1.57,0.0,8.865999995291233,0.863957267344152
15840,18.605,0.013,1.651,0.0,8.970999995060264,0.8699375084138673
16320,18.357,0.036,1.438,0.0,8.887299995660781,0.8455533040130858
16800,18.195,0.003,1.387,0.0,8.819799995861947,0.8503282159974699
17280,18.215,0.0,1.384,0.0,8.830699995875358,0.8535082979275931
17760,18.318,0.0,1.576,0.0,8.843799995303154,0.8460976082666849
18240,18.37,0.046,1.404,0.0,8.89959999574721,0.8620233049362841
18720,15.184,0.0,1.218,0.0,7.348399996370077,0.7614670561964797
19200,17.75,0.092,1.347,0.0,8.596399995848536,0.8564078373894226
19680,16.998,0.0,1.304,0.0,8.238199996113778,0.8403956445426759
